"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 18 21:48:32 BDT 2023","Sat Mar 18 21:48:46 BDT 2023","13491","Default suite","Default test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"failed","Sat Mar 18 21:48:14 BDT 2023","Sat Mar 18 21:48:31 BDT 2023","16411","Default suite","Default test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"passed","Sun Mar 12 22:34:10 BDT 2023","Sun Mar 12 22:34:48 BDT 2023","37973","Suite","Test","testcases.DarazHelpCenterPageTest","testcases.DarazHelpCenterPageTest","TestHelpCenterPageTitle2","TestHelpCenterPageTitle2",""
"passed","Sat Mar 18 21:49:40 BDT 2023","Sat Mar 18 21:49:59 BDT 2023","18670","Suite","Test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"failed","Sat Mar 18 21:47:59 BDT 2023","Sat Mar 18 21:48:12 BDT 2023","13150","Default suite","Default test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"passed","Sat Mar 18 21:49:39 BDT 2023","Sat Mar 18 21:49:50 BDT 2023","11903","Suite","Test","testcases.DarazHelpCenterPageTest","testcases.DarazHelpCenterPageTest","TestHelpCenterPageTitle","Test Help center page Title","Test Help Center Page Title description using Allure"
"passed","Sat Mar 18 21:49:53 BDT 2023","Sat Mar 18 21:50:06 BDT 2023","12732","Suite","Test","testcases.DarazHelpCenterPageTest","testcases.DarazHelpCenterPageTest","TestHelpCenterPageURL","TestHelpCenterPageURL",""
"passed","Sat Mar 18 21:31:42 BDT 2023","Sat Mar 18 21:32:00 BDT 2023","18094","Suite","Test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"passed","Sat Mar 18 21:50:45 BDT 2023","Sat Mar 18 21:51:05 BDT 2023","20401","Suite","Test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"passed","Sat Mar 18 21:50:01 BDT 2023","Sat Mar 18 21:50:43 BDT 2023","42698","Suite","Test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
"passed","Sat Mar 18 21:51:07 BDT 2023","Sat Mar 18 21:53:42 BDT 2023","154634","Suite","Test","testcases.DarazLoginPageTest","testcases.DarazLoginPageTest","testLoginwithInvalidPhoneNumber","testLoginwithInvalidPhoneNumber",""
